code_muni,dcl,rcl
1100015,-6276300,57156395
1100023,36442487,226698250
1100031,-8046359,22064188
1100049,-11167844,174113632
1100056,-5818407,43667803
1100064,-4844548,40768936
1100072,-7454108,28049783
1100080,-6624127,37321549
1100098,-17208865,63767739
1100106,21888560,80503622
1100114,16259223,113548312
1100122,-2928200,229383147
1100130,5242855,74812269
1100148,-6902887,45045632
1100155,-9119186,90663438
1100189,682785,81867858
1100205,142691711,1246560289
1100254,12493201,43092728
1100262,-815100,16293032
1100288,12847346,111409321
1100296,-7768563,23117169
1100304,94640114,228046989
1100320,-11077220,55195368
1100338,-4960095,54645774
1100346,-1207323,36538592
1100379,-7540682,33228419
1100403,-14633344,37209396
1100452,1378883,71241095
1100502,5311073,23071928
1100601,-2441251,21197732
1100700,17093362,37454315
1100809,3070733,47711060
1100908,-4027065,16464882
1100924,-8487852,37834811
1100940,-5094195,42453005
1101005,-1737594,25506478
1101104,-6300623,30608547
1101203,-4767378,20151523
1101302,-19364298,27079418
1101401,1701138,35860218
1101435,-9307777,24093081
1101450,-2384146,19408543
1101468,-5224655,20119043
1101476,-5081655,14852845
1101484,-4481228,17008064
1101492,-10970737,55855572
1101500,-7553163,30783276
1101559,-9173339,16512939
1101609,8771526,27908161
1101708,-3538618,32185502
1101757,1001442,26646904
1101807,-5842332,22356056
1200013,-3914584,28586827
1200054,-3457057,18824762
1200104,-1181605,50557790
1200138,-2763679,20558404
1200179,-2764829,24545725
1200203,18949535,145684080
1200252,6514364,32166347
1200328,-2938455,24022609
1200336,10013159,36937409
1200344,9084492,20501596
1200351,4217616,45814297
1200393,-1709119,26499995
1200401,120847525,819831945
1200427,-1408686,35239669
1200450,23823670,40565319
1200500,47671200,67983395
1200609,19930664,76921528
1200708,-3195841,31976067
1200807,928677,28188965
1300029,-4119240,39710925
1300060,202259,28071192
1300086,299363,30255947
1300102,26024586,44481874
1300144,19907747,38499865
1300201,3901954,45678668
1300300,-8909271,80917407
1300409,11359638,47760184
1300508,-23893031,77066879
1300607,22147202,88524438
1300631,7142045,45893466
1300680,7658639,43930807
1300706,2556074,58971449
1300805,-10902257,78174389
1300839,-222907,30857006
1300904,-4891548,32581825
1301001,-5050480,56316865
1301100,-3803378,69504856
1301159,-605028,44584215
1301209,-16747436,251088338
1301308,-10141218,53607611
1301407,375728,68050404
1301506,7588303,39305297
1301605,2766293,56690002
1301654,-1574029,33081763
1301704,-5631344,100557869
1301803,1663433,40246645
1301852,-42497532,108306042
1301902,81305757,204654283
1301951,8738061,31235368
1302009,7368071,25953844
1302108,-2650976,30567946
1302207,1214191,33710562
1302306,-306843,56735575
1302405,2774897,85041738
1302504,-4497816,171622950
1302553,21046672,50540261
1302603,532679083,4440830115
1302702,-4054350,88063817
1302801,158596,48155740
1302900,-18722655,140165374
1303007,-7086823,36013571
1303106,-6660736,66071943
1303205,18788133,38835911
1303304,1136885,40766173
1303403,8362582,197195115
1303502,636470,36467874
1303536,-9796803,174030752
1303601,11716,38078058
1303700,9985997,59406470
1303809,-2678674,85625585
1303908,940452,84014771
1303957,-4197943,24685096
1304005,-7370821,25253533
1304062,3614449,109593566
1304104,998488,49552886
1304203,3162645,128659483
1304237,-2559541,44225937
1304260,11849,35450055
1304302,4622039,42692474
1304401,6042670,49377780
1400027,-3510292,18321608
1400100,-137342718,1056401804
1400159,3646377,32062406
1400175,17788305,30919339
1400209,10477292,47123941
1400233,13715135,19757125
1400282,-1746762,23630764
1400308,24242604,31576965
1400407,5533961,27999715
1400456,18069112,27093537
1400472,836052,57040837
1400506,12806796,14294208
1400605,-3776995,16825288
1400704,2852748,17597991
1500107,-31176681,265669697
1500131,-762450,22575394
1500206,130352549,122160401
1500305,52261727,87417932
1500347,272155,51004478
1500404,2230846,97924061
1500503,-7209143,98252685
1500602,2278046,283055549
1500701,10799366,64628462
1500800,-33792355,632330526
1500859,153213,76905614
1500909,5044147,92193251
1501006,-871499,32680981
1501105,-2013835,48501556
1501253,80022,18801313
1501303,-36765920,378485095
1501402,828675903,2607740319
1501451,25649244,41885022
1501600,9154446,27784710
1501709,-20062303,161943974
1501758,-1062614,21761646
1501782,21761855,108521637
1501808,3000,204140095
1501907,79698640,52498067
1501956,13772030,50407626
1502103,-9573683,224443204
1502152,10705467,350020635
1502202,27469708,115911180
1502301,44891359,81949785
1502400,1728812,387878719
1502509,3717579,49608300
1502608,19228990,22885648
1502707,59787485,84986462
1502764,-3109262,36270649
1502772,4471312,79873488
1502806,234232,71729689
1502855,894203,33478991
1502939,67478197,103790429
1502954,-3104783,65531040
1503044,-2431666,47166167
1503077,36395026,58391395
1503093,38294799,82181423
1503200,49529394,57739252
1503309,70880455,115518426
1503408,744125,25304805
1503457,2147,101456018
1503507,31241578,51069416
1503606,193559840,234861985
1503705,-1407045,99066580
1503754,1748880,78071187
1503804,-11056778,87501173
1503903,39875314,139665181
1504000,23000731,52784670
1504059,-178148,65172720
1504109,23100,19380472
1504208,33345538,799172439
